Model,Weighted Accuracy,Accuracy,F1 Score
2,0.16010305483989695,0.16010305483989695,0.12107205973579493
4,0.15715863084284135,0.15715863084284137,0.10795219391924568
8,0.22377622377622378,0.22377622377622378,0.1942636394191349
16,0.3006993006993007,0.3006993006993007,0.27699436266054767
32,0.4626426205373574,0.4626426205373574,0.41950741997262114
64,0.6245859403754142,0.624585940375414,0.6065674466790874
128,0.7648141332351859,0.7648141332351859,0.7492388267806088
256,0.8034596981965403,0.8034596981965403,0.7870882255839546
